name, views1, likes1, dislikes1, views2, likes2, dislikes2, views3, likes3, dislikes3
Avatar,460500,1963,153,5861374,16658,918,5726388,41193,27832
Pirates of the Caribbean: At World's End,1496625,5837,98,69081,378,9,243187,1083,61
Spectre,15523389,33650,1601,8929882,29157,762,4380244,5097,182
The Dark Knight Rises,36894749,98031,3318,33576305,123433,3334,3357109,10496,234
John Carter,4011536,6124,499,5124349,5745,541,2375464,2265,194
Spider-Man 3,2939124,,,152946,759,30,-1,8225,1930
Tangled,4755567,4992,1045,2720127,3327,422,2229687,2618,524
Avengers: Age of Ultron,85854752,595472,13811,45756880,216491,6695,-1,,
Harry Potter and the Half-Blood Prince,615183,4374,71,5917048,12334,461,2034868,7521,209
Batman v Superman: Dawn of Justice,73254047,457780,19154,29112935,179949,15970,-1,6928,1796
Superman Returns,109898,684,26,1492973,4740,370,-1,634,121
Quantum of Solace,632409,1899,105,1404890,2108,109,17409,32,3
Pirates of the Caribbean: Dead Man's Chest,787739,1664,62,16417,78,1,19607,89,3
The Lone Ranger,8705153,19248,972,1458768,2695,157,-1,,
Man of Steel,44069262,165694,6825,40808132,132450,6601,-1,5385,1178
The Chronicles of Narnia: Prince Caspian,1251746,2861,229,2366828,3803,142,377613,1817,95
The Avengers,30914009,164975,3858,83913649,2546136,46450,-1,,
Pirates of the Caribbean: On Stranger Tides,11195231,27248,786,6772017,19502,530,-1,,
Men in Black 3,17625843,68937,1309,1092910,2650,110,102318,1291,400
The Hobbit: The Battle of the Five Armies,22304028,99120,2792,26843597,116645,3141,961481,4996,159
The Amazing Spider-Man,14287997,43770,4289,1130140,8760,705,292535,16279,4991
Robin Hood,13703898,48548,4245,1119155,2175,154,-1,665,88
The Hobbit: The Desolation of Smaug,14276555,61766,1645,7090377,27834,855,-1,1780,454
The Golden Compass,893153,1622,91,784258,2368,156,163735,436,108
King Kong,2493810,4069,424,14699723,62874,3150,-1,3693,934
Captain America: Civil War,28208229,99835,4475,81591081,692538,15333,1022545,2811,501
Battleship,5125247,9646,751,4079699,6613,575,4004597,4998,404
Jurassic World,88045349,329302,17053,29900070,120395,7174,-1,,
Skyfall,26761565,58087,2459,9687544,21444,704,650333,1467,83
Spider-Man 2,132193,60,4,16443123,265920,6407,-1,4569,1223
Iron Man 3,1475747,8520,307,28461568,82138,3944,-1,,
Alice in Wonderland,6065408,12660,681,1906374,2854,143,-1,,
X-Men: The Last Stand,-1,343,31,9466778,91343,4608,-1,945,377
Monsters University,3483536,9276,728,9791270,17707,2317,-1,,
Transformers: Revenge of the Fallen,4102390,6661,383,144582,533,17,809559,,
Transformers: Age of Extinction,10162531,25064,1384,3058925,9097,422,-1,7633,1718
Oz: The Great and Powerful,7186860,13275,793,1564018,4462,199,-1,,
The Amazing Spider-Man 2,15412712,63766,3159,37369947,132525,9404,1255095,8028,276
TRON: Legacy,12527726,25861,1135,1438405,3319,76,-1,,
Cars 2,30049906,19101,5003,10226756,5213,1796,-1,,
Green Lantern,3081339,4241,414,272261,656,64,878279,2375,205
Toy Story 3,9044177,9862,1904,4289061,4980,652,832063,2381,645
Terminator Salvation,733433,2987,138,409453,462,27,223327,,
Furious 7,70393731,329784,10144,18985681,86290,2655,3027180,8227,654
World War Z,12633943,36967,2307,488463,13243,717,-1,2797,874
X-Men: Days of Future Past,35407015,134030,6336,18726952,69134,2384,-1,3286,732
Star Trek Into Darkness,7009255,16432,808,1850758,5676,186,-1,2119,834
Jack the Giant Slayer,6415472,9887,980,1039800,1589,208,-1,1335,377
The Great Gatsby,19011872,52932,2412,3847350,15294,335,-1,4313,641
Prince of Persia: The Sands of Time,5108253,8187,450,44575,161,6,287049,557,29
Pacific Rim,20486861,64623,2929,9808675,88818,7441,-1,6408,1018
Transformers: Dark of the Moon,23177641,47784,2174,53011385,107940,6100,-1,6338,1857
Indiana Jones and the Kingdom of the Crystal Skull,65408,380,16,259790,909,28,7362509,48418,1168
The Good Dinosaur,18313929,43556,3311,9409258,20167,1821,428393,911,257
Brave,615808,1943,86,18449035,42918,3433,52288,278,16
Star Trek Beyond,18759796,67514,26893,4265059,23332,1158,2495057,9098,1272
WALL·E,773623,680,150,774276,1391,101,-1,,
Rush Hour 3,816355,2033,80,106747,228,11,6130799,31998,1236
2012,2499685,3990,565,4134870,7280,912,9874193,13563,2604
A Christmas Carol,3902407,6676,394,401544,633,51,-1,,
Jupiter Ascending,6147173,12584,982,7204905,15867,1584,3879596,7084,837
The Legend of Tarzan,34555653,127003,7137,14565991,53138,3542,-1,2006,346
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe,2812006,5083,303,1226719,,,-1,,
X-Men: Apocalypse,54297497,280871,18297,31132398,144442,7796,-1,3923,619
The Dark Knight,162795,1378,16,8696412,55526,966,-1,4329,1253
Up,6235947,8004,662,1481457,2759,259,-1,,
Monsters vs Aliens,1999540,,,118897,164,27,-1,1660,443
Iron Man,3275221,14014,368,966556,1555,85,1061031,4267,190
Hugo,377856,1339,79,66374,246,13,12470,82,3
The Mummy: Tomb of the Dragon Emperor,669182,1118,92,372948,578,64,2249290,4384,392
Suicide Squad,87466346,675440,21236,41719839,219776,9285,17589580,110003,2771
Evan Almighty,223108,587,47,1158557,1449,143,11727472,39235,4207
Edge of Tomorrow,14409214,38854,2241,841843,3270,105,-1,2400,388
G.I. Joe: The Rise of Cobra,482186,1128,61,153382,117,14,-1,775,192
Inside Out,7727773,17427,1518,17936200,49339,2356,221020,491,80
The Jungle Book,14281980,32430,1919,8258574,32117,1115,-1,,
Iron Man 2,1061031,4267,190,1546632,4634,263,3526479,5248,176
Snow White and the Huntsman,881938,3257,138,1276067,4536,220,-1,882,191
Maleficent,18887861,52770,2708,1130806,4447,164,-1,,
Dawn of the Planet of the Apes,8690528,24363,1214,12036082,33753,1731,-1,3268,675
The Lovers,1544728,2146,389,464975,620,117,-1,18,5
47 Ronin,17448488,44664,2070,1465614,3754,157,-1,722,184
Captain America: The Winter Soldier,2424526,14868,218,29591219,90909,3469,28208229,99835,4475
Shrek Forever After,6898873,4386,577,1563383,1047,297,480124,361,51
Tomorrowland,8992073,27994,1113,7219670,15307,1071,-1,,
Big Hero 6,19910641,53995,3440,17004980,46314,3316,-1,,
Wreck-It Ralph,-1,13148,908,10006649,23931,1762,21330327,187648,7525
The Polar Express,1389669,4223,273,64996,153,11,-1,9905,1973
Independence Day: Resurgence,26539194,94489,6089,8978061,31267,2385,3632272,9649,831
How to Train Your Dragon,32745859,531539,13828,5140054,10089,509,-1,7150,1386
Terminator 3: Rise of the Machines,564776,,,267741,314,38,-1,116,22
Guardians of the Galaxy,10051870,29140,2141,6978933,35570,1129,-1,,
Interstellar,2956289,10025,260,5488385,16347,512,6441658,22134,856
Inception,5673230,28253,640,3735852,7781,254,31910,192,10
シン・ゴジラ,4814664,,,3874709,,,178178,673,26
The Hobbit: An Unexpected Journey,9739235,39483,867,5753355,18346,516,14276559,61766,1645
The Fast and the Furious,2118146,3825,163,597042,3942,148,-1,5917,1718
The Curious Case of Benjamin Button,545861,3943,126,59195,458,6,-1,1078,243
X-Men: First Class,1487971,3652,114,16219621,32579,1367,44793,163,13
The Hunger Games: Mockingjay - Part 2,22136945,140142,4057,11859303,84517,1450,-1,-1,-1
The Sorcerer's Apprentice,2739910,4428,272,591485,771,71,939,1,2
Poseidon,1006382,2170,137,495013,1786,83,6297785,25344,1820
Alice Through the Looking Glass,10115206,54805,2062,4991602,36311,928,199581,819,61
Shrek the Third,1226677,613,158,19781,116,6,-1,3257,1250
Warcraft,25447911,130441,6658,18993406,233925,5669,1130865,7554,517
Terminator Genisys,28911077,90437,10545,20706462,45576,4264,12102566,28687,3926
The Chronicles of Narnia: The Voyage of the Dawn Treader,3891980,9405,279,2322423,6192,370,89113,237,7
Pearl Harbor,1614871,3387,185,219767,451,28,299455,1073,68
Transformers,697741,2600,90,1460260,11814,402,-1,12219,2015
Alexander,1752907,4315,226,419417,625,35,9953,38,1
Harry Potter and the Order of the Phoenix,1324260,6901,138,-1,287,16,97223,280,17
Harry Potter and the Goblet of Fire,1016125,7774,146,151888,872,19,34325,206,14
Hancock,843233,2333,105,87518,249,11,85143,202,18
I Am Legend,1346432,5258,147,4777318,8766,391,7002521,36732,1259
Charlie and the Chocolate Factory,2054045,5846,441,681911,2068,166,-1,493,77
Ratatouille,3162414,3747,402,399336,639,158,545876,2024,257
Batman Begins,2331149,12055,248,8696431,55526,966,379635,797,102
Madagascar: Escape 2 Africa,8014737,3902,1061,591034,523,89,-1,4860,1102
Night at the Museum: Battle of the Smithsonian,303664,382,19,14677,17,1,-1,708,162
X-Men Origins: Wolverine,176185,267,5,815838,2497,112,-1,2309,758
The Matrix Revolutions,518733,1678,76,159451,332,12,9332,56,2
Frozen,35011491,56640,8937,36464402,635609,38890,36788611,804047,36269
The Matrix Reloaded,869746,2627,96,42898,177,12,41253,114,14
Thor: The Dark World,18986134,70990,2702,3488435,12721,420,-1,,
Mad Max: Fury Road,29812510,102130,5384,14834402,51065,2734,10268506,29147,1385
Angels & Demons,4115458,25249,922,277980,6660,153,1525405,16171,1138
Thor,23999727,42087,2100,70954721,712025,30267,203419,607,52
Bolt,954218,575,121,607112,1102,108,29569,131,7
G-Force,258653,787,72,25621,121,3,1571169,1229,162
Wrath of the Titans,14421341,25013,1342,1499347,2924,142,-1,665,142
Dark Shadows,1512184,8681,247,17856,163,7,-1,1108,225
Mission: Impossible - Rogue Nation,13550013,31712,1243,-1,944,193,10843960,23481,880
The Wolfman,912979,2397,122,190477,506,21,9051244,29896,2322
Bee Movie,795715,2785,315,3936165,2236,535,-1,3515,1577
Kung Fu Panda 2,1561119,3395,184,1087431,1511,117,127977,389,27
The Last Airbender,8840780,11774,3318,-1,-1,-1,812941,962,230
Mission: Impossible III,1114618,1548,81,114648,167,6,400236,,
White House Down,8098606,3093,323,1474438,3290,372,1725421,2926,286
Mars Needs Moms,1006500,1752,531,284644,327,160,-1,,
Flushed Away,2176656,2234,324,29528,162,6,-1,1806,447
Pan,13032719,43521,3376,6369821,17107,1445,418666,3497,139
Mr. Peabody & Sherman,2082846,5489,513,-1,5931,1738,-1,-1,-1
Troy,1696891,4305,171,51606,261,4,1469030,9076,5361
Madagascar 3: Europe's Most Wanted,1575087,4136,318,7158404,10381,1043,-1,2148,607
Die Another Day,270812,640,49,200279,221,28,-1,252,64
Ghostbusters,45407214,306098,1119142,35037,280,19,-1,6943,1735
Men in Black II,1416831,1705,112,183494,,,19257142,299259,55435
Beowulf,1184328,1646,193,200166,296,21,-1,368,70
Kung Fu Panda 3,25069812,90871,4500,13653125,34463,1959,1157605,3629,485
Mission: Impossible - Ghost Protocol,1132386,3971,151,470389,612,42,77953,112,11
Rise of the Guardians,6126316,17775,655,9207758,37532,1633,-1,2558,622
Fun with Dick and Jane,131762,680,19,114745,124,9,-1,338,94
The Last Samurai,1606337,3216,161,37193,139,16,164835,240,12
Exodus: Gods and Kings,13224173,26219,3203,6623535,14167,1276,-1,1087,303
Star Trek,788863,3034,102,686007,,,-1,1312,251
Spider-Man,36937226,1119330,25121,519615,32718,6918,16443185,265923,6407
How to Train Your Dragon 2,2414822,16125,314,1884471,7046,343,-1,8483,1607
Gods of Egypt,25428309,69142,15704,2316521,8416,1737,-1,1337,256
Stealth,145125,397,36,1194452,5363,721,-1,131,26
Watchmen,1708177,,,585116,2992,128,-1,1587,265
Hulk,1140962,2087,198,4236915,9680,756,2158119,5660,1098
G.I. Joe: Retaliation,1332314,2612,126,588693,1855,106,2584814,4964,230
Sahara,804331,,,6949,14,1,611933,506,86
Final Fantasy: The Spirits Within,161852,,,385945,943,60,126454,168,2
Captain America: The First Avenger,9506791,34965,1086,2286242,5593,158,2639,25,0
Master and Commander: The Far Side of the World,411470,543,35,40039,33,1,306657,469,27
The Twilight Saga: Breaking Dawn - Part 2,1508635,4141,557,-1,7172,1471,37838921,89411,13375
Happy Feet Two,8386287,7473,962,258244,814,128,-1,2172,556
The Incredible Hulk,4236915,9680,756,24149,143,5,2158119,5660,1098
The BFG,9189555,30544,2241,8157622,22931,1656,9142893,51948,2016
The Revenant,22696440,56878,1804,25916546,65750,2910,3548737,15590,404
Turbo,2175523,4739,478,8021005,10348,1459,-1,5830,1993
Rango,11189919,14310,1056,23166,52,3,244090,851,77
Penguins of Madagascar,9822070,23199,1199,1582552,3467,190,-1,4135,1588
The Bourne Ultimatum,1210594,1659,81,711969,1020,39,451511,,
Kung Fu Panda,1427478,2322,241,1561119,3395,184,-1,2967,1200
Ant-Man,24688707,111631,4387,-1,4286,592,29065532,486833,11841
The Hunger Games: Catching Fire,12918547,54840,1451,3729494,26880,480,32323474,188596,4462
Home,13661306,29849,2384,8159647,125861,2498,-1,13035,3876
War of the Worlds,1086506,4117,170,282906,435,33,762590,6182,394
Bad Boys II,926978,,,16985,53,1,1563194,26584,1056
Puss in Boots,5606877,8784,443,1341947,3267,174,-1,2322,791
Salt,7172877,8451,529,1380354,1608,100,26691,72,9
Noah,15305143,45982,4429,2162825,12717,1026,-1,1621,529
The Adventures of Tintin,1675791,3404,178,-1,1075,128,163184,938,56
Harry Potter and the Prisoner of Azkaban,1768028,5326,149,382070,2324,34,29135,132,15
Australia,801314,1467,99,-1,74,17,-1,154,31
After Earth,17634891,42869,3547,4484091,12140,836,4282425,26839,1277
Dinosaur,1091783,2579,234,127326,,,-1,,
Night at the Museum: Secret of the Tomb,4528816,15836,469,1873645,5866,192,400556,1464,54
Megamind,1165230,1949,110,592452,970,83,-1,3666,751
Harry Potter and the Philosopher's Stone,1554930,9286,170,467708,513,36,-1,11751,2460
R.I.P.D.,198209,668,36,862712,2972,161,6678844,22157,2038
Pirates of the Caribbean: The Curse of the Black Pearl,1766483,5153,141,659851,6733,171,-1,,
The Hunger Games: Mockingjay - Part 1,12516956,39197,1230,22136945,140142,4057,-1,3219,876
The Da Vinci Code,536701,2624,86,523312,1337,85,-1,435,116
Rio 2,4899996,12003,1001,1490028,3683,391,2180151,3968,440
X2,604344,1239,53,-1,936,271,50522,475,18
Fast Five,1555414,2518,129,689062,1200,42,27003267,81028,3498
Sherlock Holmes: A Game of Shadows,1304520,3673,119,347519,1103,27,9777,39,4
Clash of the Titans,650226,1556,95,14421343,25013,1342,61992,203,4
The Bourne Legacy,4159181,7632,551,3358401,7279,311,11059672,33635,1008
How the Grinch Stole Christmas,2460843,,,2811540,18236,3459,11109855,30142,4853
The Day After Tomorrow,2218949,5939,209,261227,755,45,5222,21,0
Mission: Impossible II,1005685,,,13282,125,1,279413,203,29
The Perfect Storm,546571,712,67,314199,360,33,3794090,5495,488
4: Rise of the Silver Surfer,496322,875,53,233935,578,18,-1,637,210
Life of Pi,2388272,7339,501,448960,1895,59,6636737,15524,1054
Ghost Rider,1023576,,,1181978,4084,208,-1,3813,526
Jason Bourne,11059672,33635,1008,1436962,3548,245,300770,514,322
Charlie's Angels: Full Throttle,146647,848,15,353287,,,5792,39,1
Prometheus,10041698,10477,615,19793067,31879,1819,5311457,14546,575
Stuart Little 2,991287,,,381516,1677,171,-1,623,211
Elysium,9383280,12595,778,10072047,24371,1212,867829,2785,99
The Chronicles of Riddick,1385912,1745,131,487908,1490,90,-1,396,98
RoboCop,3850492,13361,1313,205213,1026,41,489141,2962,133
Speed Racer,597223,2377,180,34299,220,8,-1,707,169
How Do You Know,1596606,1986,144,2573523,8575,227,2558598,16261,432
Knight and Day,3188458,8785,225,75227,182,10,-1,358,55
Oblivion,7613276,18712,938,217865,1802,121,543238,5401,103
Star Wars: Episode III - Revenge of the Sith,3242585,27598,722,65135,841,12,-1,4155,542
Star Wars: Episode II - Attack of the Clones,2215692,10038,518,177032,584,30,28785,70,5
Monsters, Inc.,6546960,4455,901,-1,,,-1,,
The Wolverine,1399421,5029,208,5927259,13976,679,-1,1935,320
The Croods,9205502,11541,1400,791505,1702,241,410361,640,83
Astérix aux Jeux Olympiques,119525,157,24,777692,468,61,-1,29,13
Windtalkers,530090,637,42,538794,1845,100,-1,333,95
The Huntsman: Winter's War,7955233,32146,1075,-1,839,103,8772104,19024,929
Teenage Mutant Ninja Turtles,8493966,28421,3569,28477734,136861,11881,-1,10867,3230
Gravity,16815063,37569,3968,1090926,2174,218,437015,2067,90
Teenage Mutant Ninja Turtles: Out of the Shadows,5552524,28582,1981,1362148,10344,700,-1,4131,808
Fantastic Four,12044677,42889,8756,17928494,71106,20868,-1,286,140
Night at the Museum,-1,205,35,4528816,15836,469,-1,1514,358
San Andreas,15594511,43473,2684,24883756,66303,4133,-1,4567,681
The Patriot,660208,,,676099,995,129,37263,88,7
Ocean's Twelve,480476,914,38,10439,48,0,437726,602,40
Mr. & Mrs. Smith,,1655,106,330044,2420,276,-1,-1,-1
Insurgent,11325346,51577,2070,1108234,2283,140,34601073,107502,4254
The Aviator,1631675,3444,95,1631236,2019,83,-1,257,57
Gulliver's Travels,523726,1214,161,42902,156,18,294850,310,25
The Green Hornet,2461362,3360,309,164127,264,18,-1,328,84
300: Rise of an Empire,17115989,53319,2529,4661010,11834,656,-1,1634,572
The Smurfs,3095604,3683,1226,756711,,,2368637,1736,466
Home on the Range,412497,,,560543,443,79,-1,,
Allegiant,8312617,33629,1641,2973227,15985,896,1730977,5036,251
Real Steel,1613804,3822,227,2582369,2955,219,1814022,4841,506
The Smurfs 2,235192,392,65,883757,1958,473,-1,2042,726
Ender's Game,4079908,10958,715,7354817,17160,1582,9666899,29481,1905
Live Free or Die Hard,472812,746,40,295221,537,25,-1,389,139
The Lord of the Rings: The Fellowship of the Ring,2732692,7598,265,2727817,10811,219,-1,6461,931
Around the World in 80 Days,39810,110,15,547605,1148,93,-1,,
Ali,1440094,20003,455,300048,1292,28,-1,341,70
The Cat in the Hat,1814299,,,7125,31,3,-1,7770,1879
I, Robot,2119621,4859,316,45671,105,17,2297900,10663,222
Kingdom of Heaven,419707,1201,52,4044752,6003,371,60502,137,13
The Princess and the Frog,8393459,7015,1963,526750,682,71,383131,256,56
The Martian,16077895,51398,1675,21894530,91830,2911,950485,5368,134
The Island,609313,1550,139,447012,765,53,96811,237,35
Town & Country,32026048,575792,6672,8174651,107739,2551,32271200,271994,4722
Gone in Sixty Seconds,209763,437,24,142654,182,19,-1,,
Gladiator,1679272,4315,231,42040,148,1,-1,2100,559
Minority Report,1077724,2724,146,1561644,,,23958,55,14
Harry Potter and the Chamber of Secrets,744165,4058,70,180682,393,12,73031,65,7
Casino Royale,1894106,4787,190,592303,1001,56,-1,1070,197
Planet of the Apes,5818057,31253,942,10931578,24617,1392,-1,6906,1529
Public Enemies,4113831,6819,299,621120,1189,42,720190,2032,75
American Gangster,2174807,4751,177,7255102,30722,869,-1,1509,330
The Taking of Pelham 1 2 3,1055074,1632,97,83047,296,11,78123,140,10
Little Fockers,151359,303,29,2944,5,0,-1,231,65
The Other Guys,7315642,11219,407,956513,8538,174,-1,725,122
Django Unchained,16081632,44994,1974,1684242,5281,212,236623,1026,29
The Emperor's New Groove,1254023,,,198992,222,34,-1,,
The Expendables 2,4742625,4920,184,6667473,15816,356,-1,670,144
National Treasure,753095,1215,95,569348,798,62,-1,,
Eragon,456940,1077,147,-1,190,26,2617849,3052,860
Where the Wild Things Are,1040289,4388,146,721204,3156,100,186195,741,22
Epic,1385588,5583,198,428989,1923,101,-1,1404,514
The Tourist,1783744,3109,150,487398,779,43,3106,9,0
Blood Diamond,2335761,6271,256,126074,612,20,501894,1193,364
The Wolf of Wall Street,22047224,71211,3041,5661452,15703,548,-1,6300,1466
Cloud Atlas,21176071,83390,3047,3274746,6297,266,209550,1076,33
Legend of the Guardians: The Owls of Ga'Hoole,689035,3062,71,3699610,8488,362,254243,340,14
Catwoman,2351119,7624,752,810076,2742,436,-1,648,239
Hercules,1720530,4821,280,317649,527,45,-1,,
Treasure Planet,925209,2798,102,254081,625,31,-1,,
Land of the Lost,1775395,2478,255,159205,303,21,191084,1214,60
The Expendables 3,16824580,38040,1656,1655531,6151,156,6906501,30269,757
Point Break,3411580,7920,1953,1483713,2420,124,22330736,47637,13773
Son of the Mask,5506949,17817,3308,391742,549,217,1861858,28239,764
In the Heart of the Sea,11086456,28404,1422,4263547,9052,396,-1,488,76
The Adventures of Pluto Nash,364696,636,285,65159,199,33,3345,6,3
Green Zone,1281464,1467,126,236179,1080,208,-1,158,31
The Peanuts Movie,3243094,13114,572,4440953,9060,388,-1,6387,2003
The Mummy Returns,642141,1286,99,83712,189,9,-1,929,228
Gangs of New York,1031095,2418,125,463824,1168,31,54725,143,13
金陵十三釵,148612,189,27,173973,273,24,-1,187,13
Surf's Up,362351,,,-1,316,81,146653,207,30
The Stepford Wives,505917,1304,71,41679,127,4,-1,143,19
Black Hawk Down,213381,1063,44,182594,569,14,1860223,7238,1041
The Campaign,799932,2037,92,242977,412,17,-1,453,140
Sex and the City 2,634797,1484,148,51773,104,13,-1,777,278
The Road to El Dorado,1138044,,,124590,163,11,-1,668,134
Ice Age: Continental Drift,657433,1698,146,4005331,11727,696,-1,3084,1232
Cinderella,33468784,116644,7347,1449206,6188,271,-1,,
The Lovely Bones,1324029,,,127852,607,128,-1,2260,426
Finding Nemo,1677374,1856,298,68465,194,26,-1,,
The Lord of the Rings: The Return of the King,2727817,10811,219,252005,1458,22,994288,4498,105
The Lord of the Rings: The Two Towers,994288,4498,105,2727817,10811,219,-1,1386,365
Seventh Son,7046245,10783,939,2838881,8415,373,3550480,1131,196
Lara Croft: Tomb Raider,2177209,3152,255,19743339,110174,23494,-1,2159,442
Transcendence,16282212,43511,1754,2579785,3938,213,-1,563,127
Jurassic Park III,1339037,3635,170,1428956,1860,149,-1,2874,735
Rise of the Planet of the Apes,4106038,5706,368,5488933,23129,965,380822,1259,37
The Spiderwick Chronicles,1203757,3864,174,6399,56,3,-1,1097,288
A Good Day to Die Hard,535683,2326,94,893428,2154,102,35611,109,13
The Alamo,221452,,,14274,,,26356,89,2
The Incredibles,573559,2460,148,43108,77,12,-1,,
Percy Jackson & the Olympians: The Lightning Thief,-1,3183,1010,802952,47668,769,1226768,28034,812
Unstoppable,383959,894,43,131538,445,12,-1,1079,167
Rush Hour 2,665197,1719,65,945475,1021,55,59738,166,9
What Lies Beneath,86177,178,21,128781,,,2785319,6169,973
Cloudy with a Chance of Meatballs,1741881,2397,216,863686,1235,113,929317,1366,128
Ice Age: Dawn of the Dinosaurs,1771920,1630,260,1503468,1409,249,-1,2212,836
The Secret Life of Walter Mitty,4196568,10928,388,4859162,21263,608,1903582,6782,214
Charlie's Angels,501578,,,146647,848,15,18461,101,3
The Departed,1295825,3745,124,575815,1121,86,99085,274,20
Tropic Thunder,1749882,,,1626706,10880,543,-1,841,218
The Girl with the Dragon Tattoo,3750568,8519,427,6432430,36298,4711,5480341,10554,626
Sherlock Holmes,9203370,61218,15567,1322371,4336,128,-1,1017,160
Ben-Hur,8096927,16058,7354,603726,762,87,-1,781,265
Atlantis: The Lost Empire,56707,321,10,91937,164,17,-1,,
Alvin and the Chipmunks: The Road Chip,5416642,18050,4109,2355599,9700,2104,-1,4592,1057
Valkyrie,926257,2903,111,94139,103,11,71928,345,19
You Don't Mess with the Zohan,764031,1538,116,4501820,18329,1102,713905,,
Pixels,21619845,91468,13699,9094517,15502,1256,4495097,15894,1115
A.I. Artificial Intelligence,194829,576,27,1025566,2820,125,-1,429,73
The Haunted Mansion,737053,2349,138,20672,56,3,-1,,
Hollow Man,140201,590,25,63991,141,20,-1,305,82
The Interpreter,214558,467,28,12071,32,0,-1,,
Percy Jackson: Sea of Monsters,5806438,24225,1343,1312050,6498,354,-1,3183,1010
Lara Croft Tomb Raider: The Cradle of Life,630900,1100,142,122425,145,8,-1,136,27
Now You See Me 2,9419175,48488,1231,25597841,274296,9787,-1,2174,287
Spy Game,206931,192,9,438076,1155,66,-1,74,21
Mission to Mars,193119,252,26,16077898,51398,1675,-1,,
