name, views1, likes1, dislikes1, views2, likes2, dislikes2, views3, likes3, dislikes3
Shrek,4150887,3710,837,285576,430,33,-1,11516,3863
The Adjustment Bureau,5998203,10177,419,1254616,3060,119,39131,173,23
Ted,21740075,44582,2622,31093575,137847,7518,285836,1895,115
Anchorman 2: The Legend Continues,284994,962,55,6545852,14950,1593,-1,438,176
Mr. Deeds,843354,,,418650,242,28,-1,266,79
Super 8,665725,2110,100,9758940,9550,833,65959,111,9
Erin Brockovich,122405,232,15,18040,,,117765,113,22
How to Lose a Guy in 10 Days,1536373,4553,115,1710221,,,769139,1379,68
22 Jump Street,6415593,56560,2286,8614779,27000,974,3806050,30770,729
Yes Man,-1,5456,254,28604,78,5,-1,470,96
Central Intelligence,4948007,23630,554,14528999,71769,2346,255733,2260,86
Daddy's Home,6633105,20845,751,11480562,58165,3259,5667771,11886,558
Into the Woods,12418865,38027,2282,-1,,,6343903,22482,770
Inside Man,1002103,1945,117,319140,340,20,124332,461,30
We Bought a Zoo,600380,2520,58,37194,113,4,257376,1687,89
Knowing,2996244,5558,353,210327,765,28,918890,1530,119
Failure to Launch,130649,1028,19,1388137,1455,120,20920,26,18
The Ring Two,486694,,,728317,2644,221,1400177,5757,276
Crazy, Stupid, Love.,5467043,14782,411,46788,424,13,-1,1430,232
Garfield,357642,581,81,211178,414,41,-1,2167,560
Christmas with the Kranks,86729,448,26,727285,759,100,49384,,
Moneyball,2441813,3740,176,129517,179,9,-1,697,91
Non-Stop,10591194,27030,976,2965458,2495,212,32669,172,4
Race to Witch Mountain,566718,1413,54,1189410,1976,84,22417,77,3
V for Vendetta,514359,2532,74,4934993,14535,788,1882120,4497,144
Shanghai Knights,331501,,,13259,26,1,-1,,
Curious George,228921,611,81,-1,-1,-1,176757,169,46
Herbie Fully Loaded,461848,985,78,14838,33,4,-1,,
Don't Say a Word,135622,224,20,478056,502,21,44069,110,40
Hansel & Gretel: Witch Hunters,4846542,6915,1763,794211,1494,42,-1,1293,367
Unfaithful,3446171,2511,334,43511,30,6,106199370,47064,29046
I Am Number Four,2076709,9179,266,142661,487,31,3588637,19599,1656
Syriana,297167,455,43,40298,30,3,-1,76,25
13 Hours: The Secret Soldiers of Benghazi,6240999,14249,1128,1210436,3618,317,384430,1806,265
The Book of Life,1577670,6387,312,1201897,3927,221,-1,6829,1536
Firewall,257468,270,26,417303,223,27,-1,21,8
Silent Hill,1856934,6964,279,6433503,18971,997,10669,61,7
The Replacements,152780,363,13,34762,83,0,598218,2751,69
American Reunion,3880082,7750,254,797764,2064,68,250417,571,27
Into the Storm,5344709,12179,736,4035430,8217,945,-1,2819,377
The Judge,6072797,22939,657,653274,2095,59,384999,524,31
Resident Evil: Apocalypse,136845,840,37,862684,2956,160,651822,1999,51
Bridget Jones: The Edge of Reason,77905,189,7,42331,,,-1,165,39
Out of Time,327514,230,22,159701,178,9,444106,1020,49
The Adventures of Sharkboy and Lavagirl,3287114,,,97453618,231774,38205,15629381,40857,4259
The Beach,375315,1113,36,1681800,2274,162,-1,227,73
Raising Helen,-1,3057,53,4902,6,0,-1,,
Ninja Assassin,4041681,6473,346,108097,260,9,-1,1511,281
Marmaduke,97821,264,23,154369,408,125,687404,403,278
Hereafter,336442,615,26,5790809,12062,1445,-1,115,21
Murder by Numbers,48746,172,0,525547,550,30,15895,60,2
Hannibal Rising,597769,1122,63,387657,3335,247,-1,233,61
The Host,5389422,20101,1086,392870,1091,137,-1,615,173
Basic,266061,153,25,10437,26,0,38582,44,14
Blood Work,71810,90,6,25799,54,6,-1,20,12
The International,279531,355,25,90018,137,7,743178,384,59
The Life Aquatic with Steve Zissou,690390,1660,86,2745,12,1,-1,,
Free State of Jones,5590582,7176,579,64878,84,7,372689,3370,119
The Life of David Gale,1187856,1203,65,314707,424,31,169705,322,33
Man of the House,158804,310,19,37886,118,11,-1,69,7
Run All Night,8214607,14174,705,963086,4330,99,-1,227,43
Eastern Promises,1091539,1191,65,25955,44,1,-1,144,32
Into the Blue,3524939,6308,357,104079,,,-1,4300,461
Your Highness,5524385,8558,472,165497,307,28,75999,105,6
Dream House,4040735,3695,370,143465,161,17,8685,19,2
Fair Game,513436,418,67,10664,18,0,115944,173,12
Domino,286211,470,23,1045537,1237,106,76779,54,70
Gamer,2520024,4311,256,75236,,,-1,246,89
Beautiful Creatures,2220337,9475,347,5012616,15634,965,46036,104,10
Death to Smoochy,109665,,,177889,,,12325,10,0
Zoolander 2,21892924,83455,5349,9080728,44781,3873,-1,395,95
The Big Bounce,149294,133,16,-1,31,4,6754,12,2
What Planet Are You From?,80530,134,12,5712,,,-1,23,10
Drive Angry,482464,754,138,434660,232,98,-1,246,77
Street Fighter: The Legend of Chun-Li,45726,65,13,6495,,,-1,63,30
The One,838888,673,47,14934,13,3,2404,118,10
The Boat That Rocked,734815,1980,51,28617,62,0,12310,45,5
Traffic,159006,218,18,135996,251,30,-1,127,37
Anna Karenina,1314325,7015,231,263156,413,27,-1,177,46
Chappie,12808056,37205,2060,9336410,29155,1115,2176314,7871,333
Panic Room,118950,612,31,14467984,83307,1969,-1,257,72
The Tooth Fairy,2927018,4402,586,177192,357,53,32478,36,5
Child 44,5380518,12644,856,973079,2780,115,86468,177,12
Rat Race,119192,307,22,171225,237,27,1160885,8780,278
K-PAX,314390,636,30,177708,506,31,14541,30,4
Kate & Leopold,-1,-1,-1,-1,-1,-1,857,21,4
Bedazzled,788594,1457,86,10847,43,6,-1,164,70
3:10 to Yuma,436110,831,44,40855,,,8532,29,1
Taken 3,16087922,54857,1802,6792070,19501,553,1905607,3255,180
Riding in Cars with Boys,255761,,,113637,459,66,-1,199,28
Happily N'Ever After,197266,374,61,41824,84,15,-1,1653,145
America's Sweethearts,401596,3036,37,550949,389,47,47487,112,18
Insomnia,186592,642,19,49008,99,3,-1,77,14
Jonah Hex,4688395,5249,433,212770,392,77,4397123,24914,1771
The Infiltrator,4089233,10810,366,245147,280,18,100965,560,104
Taken 2,1345909,5240,174,637577,1261,63,278939,1127,31
Scary Movie 3,2222927,2873,165,180895,,,90155565,223500,36830
Miss Congeniality,1694380,7104,132,339759,2106,34,-1,413,141
Journey to the Center of the Earth,607960,1492,94,438820,690,84,-1,721,167
The Princess Diaries 2: Royal Engagement,927269,4886,297,46885,290,8,-1,,
The Bucket List,1721444,3721,129,154255,438,14,-1,249,84
Monster-in-Law,1059961,6082,106,569333,1109,53,-1,518,98
Prisoners,9744476,22966,820,1296775,4404,137,410542,7891,164
Training Day,1196083,2909,148,18116,71,2,-1,1705,425
Scary Movie 2,836674,1438,69,323179,,,12493978,44045,4506
The Muppets,3981278,9278,500,68490,55,18,-1,,
Coach Carter,1664037,,,2269421,10205,220,-1,1349,218
Changing Lanes,213591,225,22,187884,,,-1,41,7
Coyote Ugly,681599,,,171837,120,18,47286,51,6
Love Actually,1145377,,,181857,328,20,5081852,33599,736
From Hell,697753,1338,81,164039,935,59,-1,131,7
Kicking & Screaming,175051,1014,26,34455944,171873,5243,2201312,12819,421
The Hitchhiker's Guide to the Galaxy,689972,1856,136,2210003,7468,216,-1,,
Fat Albert,662344,1677,132,11656,18,2,-1,1451,461
Resident Evil: Extinction,105715,584,27,10540,97,3,20660,500,166
Blended,11174210,34677,2483,1724775,2797,209,-1,1428,329
Last Holiday,57911,405,4,640682,979,58,655699,2944,88
Savages,1018368,2317,139,440708,895,71,7539,14,5
Cellular,466302,817,51,157754,295,13,5185,21,2
Johnny English,15335363,274168,4443,651826,,,843150,2186,79
The Ant Bully,432114,376,70,104947,246,31,-1,692,226
Across the Universe,241242,2715,63,234497,696,17,299761,593,98
Revolutionary Road,2368367,,,952670,4906,90,-1,309,44
16 Blocks,308979,478,50,61317,72,6,20492,29,4
Babylon A.D.,633725,861,89,13785,36,2,60499,,
Aliens in the Attic,270603,559,202,3892,22,0,45312,97,37
The Pledge,171385,396,92,481312,563,42,-1,13,2
The Producers,147265,,,132661,283,11,405993,1765,52
All the Pretty Horses,336317,325,36,39214,48,3,32453,,
The Ghost Writer,186870,268,24,18023,20,1,-1,31,8
Miracle at St. Anna,264758,,,6614,11,1,1129778,3907,618
滿城盡帶黃金甲,9050,4,1,21230,17,0,4589,162,22
Bangkok Dangerous,21297,30,5,200273,,,21521,19,2
Big Trouble,96041,81,8,4000,43,4,-1,,
Love in the Time of Cholera,219230,542,24,149399,283,20,-1,216,47
Johnny English Reborn,843150,2186,79,2816775,7529,204,15335363,274168,4443
Foodfight!,318632,2061,571,835905,2110,8747,315387,4205,157
Argo,1697698,3653,413,122389,360,26,-1,409,89
The Bounty Hunter,1326181,2513,484,43361,73,3,-1,363,53
Underworld: Evolution,1110347,1351,74,36085,160,8,4196195,8838,280
Victor Frankenstein,9705763,31699,1862,1158661,5711,201,-1,205,32
Finding Forrester,296827,,,243096,847,26,12598,165,33
28 Days,263638,483,23,1993971,3333,229,-1,106,25
Unleashed,2762384,17205,1478,242611,651,26,339151,1478,384
The Sweetest Thing,1312307,,,37013,39,1,-1,169,48
Charlie St. Cloud,9872329,37995,922,724180,5566,79,667994,6145,96
The Mechanic,9155516,8764,438,10069042,33062,1216,-1,376,83
21 Jump Street,2677209,10852,671,345142,,,-1,2124,604
Chicken Run,1728705,1922,186,277041,471,50,-1,1102,378
Along Came Polly,588182,919,85,15803,12,6,-1,,
The Heat,2197865,5284,300,525212,1963,88,3117455,9737,362
Here Comes the Boom,4805148,9235,483,151753,125,56,58425,1252,341
High Crimes,260006,,,14631,17,2,22278,14,1
The Mothman Prophecies,413047,1011,73,101839,179,7,-1,229,64
Brüno,855946,2471,169,203592,429,46,262912,578,87
Red Riding Hood,11273477,18611,3618,430420,928,77,-1,960,121
15 Minutes,264554,197,23,56952,852,14,-1,19,22
Lord of War,579201,1398,63,327303,751,24,2517072,18469,522
英雄,201472,534,30,18968,16,0,187,1,0
One for the Money,2829718,1178,71,94996,212,13,101656,55,24
The Interview,7749572,18250,1562,3986163,14273,693,1218230,4531,219
The Warrior's Way,223981,408,43,45587,85,10,-1,150,46
Micmacs à tire-larigot,278077,598,17,128876,125,10,38330,43,3
8 Mile,6140983,36171,717,41842717,430603,9795,-1,16989,2745
Pourquoi j'ai pas mangé mon père,394098,666,54,110204,212,13,270,1,0
A Knight's Tale,1276710,2353,103,90213,582,12,391206,2607,68
The Medallion,415312,424,28,4249,11,3,38466,,
Man on a Ledge,3953126,3553,239,45237,223,16,47611,158,7
The Big Year,2190725,1996,202,7356,17,1,17083,38,4
American Hustle,8844036,11347,942,477134,1005,31,1250965,1314,144
The Proposal,2906438,6243,152,382570,591,31,1184363,3916,540
Lucy,6046382,23013,778,2642598,7576,1043,-1,3049,293
Fifty Shades of Grey,92240015,244728,36082,13931514,34043,3022,-1,7014,1332
Spy Kids 3-D: Game Over,674703,6273,265,111247,300,23,-1,1954,424
Cheaper by the Dozen,753923,990,54,297962,301,31,-1,635,144
Lone Survivor,17409631,40490,3304,3541843,7984,440,-1,3262,563
The Conjuring 2,25101262,80059,4352,26581906,85892,4386,-1,4402,851
The Social Network,11275942,30307,1426,1156955,3331,118,-1,919,135
He's Just Not That Into You,3211275,7303,211,-1,3005,150,-1,616,122
Scary Movie 4,89338,232,8,43273,153,12,373587,799,137
Scream 3,56650,264,14,645540,964,65,-1,323,42
Get Hard,12784394,31804,1742,4717407,12578,771,36941,165,7
Julie & Julia,3199014,70622,1823,-1,-1,-1,366630,5126,488
42,3163598,12353,333,296972,1252,22,319485,645,36
Dumb and Dumber To,30549708,82840,5578,2064363,2846,233,3715569,9232,545
Eight Below,1589012,6118,148,1087020,1911,48,215069,1050,43
The Intern,8708783,23095,1211,1401785,10949,142,5371175,12157,645
Ride Along 2,14790496,48387,1973,3506300,14482,814,-1,2387,281
Ray,498288,2038,45,-1,-1,-1,585041,6536,245
Sin City,942841,2127,130,353428,873,35,-1,474,136
Vantage Point,1121067,2165,127,118102,148,12,57938,,
I Love You, Man,25986,196,5,39167,91,9,-1,201,52
Shallow Hal,1437094,5273,320,86527,221,18,513433,1787,54
Big Momma's House 2,339218,371,38,754617,2782,187,12888080,36890,3161
The Mexican,73773,150,12,214313,,,45425,99,10
17 Again,3564009,19482,373,128791,330,7,3141101,14139,476
The Other Woman,14059802,76460,3064,3347816,6369,573,2698135,388,29
The Final Destination,499260,962,106,94939,654,37,-1,877,274
Bridge of Spies,6963607,14002,609,1191311,1462,105,1360029,6228,422
Behind Enemy Lines,170377,535,62,25956,36,2,-1,301,65
Get Him to the Greek,4369212,5128,451,901833,2416,178,72373,136,21
Shall We Dance?,227868,437,26,22177,61,5,-1,224,43
The Count of Monte Cristo,1116469,,,67676,165,10,9106,24,0
The Lincoln Lawyer,3281299,983,44,27053,138,2,-1,281,47
Unknown,1335312,2262,145,572505,784,50,23762,27,5
The Prestige,1421263,,,319777,392,36,-1,,
Horrible Bosses 2,5054940,7428,425,725300,1934,45,1401974,5433,132
Escape from Planet Earth,564618,1092,115,17827,22,5,-1,582,241
Apocalypto,661907,1888,104,123626,252,16,5795255,13865,1316
Predators,223620,780,34,1343058,4047,181,-1,1414,317
Secret Window,1219213,,,38356,256,5,13353,52,5
The Lake House,383210,2170,44,1388987,2792,81,-1,541,87
The Skeleton Key,1066041,1793,115,287001,472,32,-1,343,49
The Odd Life of Timothy Green,2916429,33349,510,2653033,5380,455,1300126,3805,197
Made of Honor,797751,1197,35,16723,19,4,-1,200,25
Jersey Boys,1693579,4919,148,552221,1264,44,90105,210,8
Gothika,795505,2494,117,63809,91,13,43576,139,6
Aliens vs Predator: Requiem,749157,1150,140,180511,351,31,-1,1321,257
Autumn in New York,165714,387,8,37017,79,3,262491,668,28
Music and Lyrics,852205,2783,74,2912176,15975,493,-1,189,21
Paul,554014,,,195321,639,23,253881,1520,62
The Guilt Trip,747750,1058,148,78903,208,25,-1,90,29
Scream 4,158011,989,37,448360,1688,124,7142679,9489,863
Sex Tape,3399659,6670,645,9079846,22278,7083,816347,1798,257
Hanging Up,117069,395,14,910,2,0,-1,17,7
Final Destination 5,779856,1785,120,15036323,35342,4178,-1,1484,525
Pay It Forward,523931,1778,56,26184,101,9,131974,1095,54
Fever Pitch,595837,2301,70,71235,552,13,59738,192,12
Drillbit Taylor,1932578,2300,76,119795,,,15177646,75988,3882
A Million Ways to Die in the West,5821362,23711,1107,3444202,11042,519,132498,326,23
Extremely Loud & Incredibly Close,3100522,54503,1080,447805,1501,55,141418,2161,113
Morning Glory,5982652,7342,306,20125,33,1,1524276,5027,632
Get Rich or Die Tryin',1327282,3717,150,97652,,,-1,1686,433
The Art of War,94619,198,23,94619,198,23,331032,146,23
Rent,95721,590,11,262084,,,306181,4314,88
Bless the Child,96382,,,61165,71,4,67720,216,8
The Musketeer,68242,138,15,-1,-1,-1,1328838,4327,115
The Other Boleyn Girl,308282,950,39,32215,162,7,2452462,3228,324
Sweet November,461487,1278,43,182269,734,29,6109,25,1
The Reaping,100899,222,21,180883,255,31,51806,197,14
Colombiana,5086212,10229,1006,197886,337,55,493744,455,29
City By The Sea,18540,42,3,42871,72,5,8535903,23572,1260
Torque,327840,499,37,249969,324,36,17836,28,2
Marie Antoinette,906243,1974,84,76007,232,5,624941,5162,129
Get Carter,101241,364,14,-1,142,17,-1,37,14
Lo imposible,13900309,53551,1641,387832,778,43,16882,106,4
Fantastic Mr. Fox,6116008,15905,874,18500,111,1,539955,1091,44
Life or Something Like It,261907,538,27,6572,12,1,-1,24,6
Le fabuleux destin d'Amélie Poulain,1762259,6446,208,95075,254,10,580032,2880,123
New York Minute,1091594,7717,140,6398,60,2,-1,463,116
Alfie,725495,1267,50,53658,,,22423,24,1
Big Miracle,654132,1776,83,61006,283,5,-1,229,26
FearDotCom,178005,,,26882,475,11,4112,9,3
Cirque du Freak: The Vampire's Assistant,262309,1602,147,39530,121,8,142959,,
Duplex,183594,274,32,26522,,,-1,75,31
Soul Men,71773,108,17,443337,1815,47,272201,2768,56
Pandorum,81993,163,16,2995906,3361,327,318222,223,33
Impostor,10459,94,1,25990,99,10,9678,30,1
Extreme Ops,52765,86,10,5325,16,2,10746,21,0
Just Visiting,78667,150,26,138396,159,13,1199,1,1
Sunshine,157580,994,62,2166920,4154,417,3531890,5401,311
A Thousand Words,573182,2127,58,116702,,,-1,261,80
Delgo,323479,293,466,187968,71,144,-1,27,15
The Gunman,4572515,5512,506,507899,460,47,-1,97,45
Stormbreaker,149673,,,359812,553,49,85981,216,10
Disturbia,593172,,,73712,254,5,530760,1641,76
The Hunting Party,68502,104,18,3077,17,1,-1,17,9
投名狀,43856,31,1,15557,5,0,33509,14,1
Nomad,330263,4701,124,49527,350,19,54090,2944,46
Snowpiercer,4485206,14640,641,3437131,3237,346,-1,499,131
Un monstre à Paris,54059,212,10,179382,,,131867,177,19
The Last Shot,21950,34,5,2504,13,1,-1,,
Baahubali: The Beginning,21521519,65716,7324,11227857,40667,2906,102625408,594005,50997
The Time Traveler's Wife,3103533,17509,272,53026,94,11,24322,116,8
Because I Said So,638558,1141,81,508313,,,542490,309,22
Frankenweenie,1757609,5652,238,187085,924,35,1380917,3996,583
Serenity,149164,340,31,647254,1065,73,324934,2557,157
Against the Ropes,45882,96,11,190713,,,-1,32,9
Grudge Match,4620191,15127,547,180793,980,27,-1,204,73
Chi bi,1130876,2024,105,17145,797,15,37583,34,1
Sweet Home Alabama,1312841,,,23730,43,6,70664846,359074,14296
The Ugly Truth,4103671,8159,302,1561329,4970,233,-1,416,75
Spy Kids 2: The Island of Lost Dreams,114517,236,34,54885,78,17,-1,2053,683
一代宗師,162296,377,14,1577776,4766,224,-1,543,81
Water for Elephants,819674,1247,41,578692,1701,33,209619,270,21
Dragon Nest: Warriors' Dawn,21695,204,8,1068040,965,75,-1,139,25
Enough,1574347,3920,203,213248,,,32966,322,11
Heartbreakers,290641,521,26,127748,130,7,6278,22,0
Paul Blart: Mall Cop 2,3211961,11665,1640,2232950,2894,417,297747,619,59
Angel Eyes,348710,613,31,892295,4100,111,399,,
Joe Somebody,1553,7,1,25874,94,7,-1,18,8
Rock Star,574374,2516,87,614837,5321,114,-1,362,65
Precious,1413039,14497,283,1342033,8823,342,-1,2394,626
Riddick,487922,1490,90,1385929,1745,131,765335,1980,127
Texas Rangers,2040057,22665,345,68916,70,10,37300,73,4
City of Ember,841529,1520,104,12511,41,3,2660520,2847,204
The Master,234815,1483,32,665876,1817,61,138516,466,10
Virgin Territory,119636,102,11,57395,77,16,-1,22,9
The Express,408137,743,22,87162,,,-1,218,37
The 5th Wave,16661526,54373,2876,8878541,44824,1752,3304938,26089,1515
Creed,24931623,121032,3417,17351246,144435,4493,-1,7827,642
The Town,4665735,15320,552,99435,292,15,2927639,3371,124
What to Expect When You're Expecting,308319,1053,24,654385,1335,56,929840,1054,218
Burn After Reading,660930,1363,67,59190,90,4,-1,65,27
Nim's Island,592479,915,41,34589,,,-1,83,54
Rush,2484644,7505,266,3722597,7867,258,246184,1229,33
Cop Out,727792,1860,107,154335,379,25,557,5,0
How to Be Single,9023572,38947,2005,332608,1005,38,304754,275,20
Dolphin Tale,691686,2151,104,476054,1137,64,-1,1303,310
Twilight,518474,1736,147,6917113,13262,737,-1,10347,2022
John Q,647862,1704,91,85885,127,7,49459,59,2
We're the Millers,16499699,38692,2009,163216,3293,58,-1,3518,1322
Obitaemyy Ostrov,197920,28,20,549884,1875,450,112769,72,2
Hot Tub Time Machine,216246,600,43,2804494,6705,435,-1,347,227
Dolphin Tale 2,544555,1837,159,301185,1362,87,691686,2151,104
Reindeer Games,92097,195,17,33544,61,9,653818,515,235
A Man Apart,1584593,1773,104,15802,155,6,-1,119,48
Aloha,10216812,22959,1623,793697,1480,183,-1,293,57
The Rite,3181135,3628,284,61261,143,12,121252,213,15
Isn't She Great,16624,51,3,5703,18,0,-1,8,1
Space Chimps,189264,189,40,43396,61,14,-1,348,130
Head of State,323273,,,75083,217,10,70005,224,9
The Hangover,2328974,6279,267,14389581,37549,1891,-1,1851,518
葉問3,518046,706,19,23251,36,1,175125,432,29
There Be Dragons,94918,129,61,11563,21,2,5183,25,0
The Blind Side,3323986,25670,324,1093688,3228,121,198872,439,18
Spy Kids,418478,991,93,114517,236,34,-1,2224,550
Horrible Bosses,1538779,3296,125,5054946,7428,425,-1,577,155
True Grit,5881661,9038,352,215185,,,92124,,
The Devil Wears Prada,1611590,2185,249,5953685,22967,612,-1,951,357
Identity Thief,4815033,12435,610,790718,608,43,118632,378,27
21,4163296,4649,283,16309,26,0,-1,402,90
Trainwreck,12782133,5025,984,101360,221,36,2551178,24675,528
Guess Who,121007,295,13,113271,,,-1,213,33
Sky High,306720,927,56,1327828,,,493863,1986,262
The Cell,142496,599,52,33617,70,10,-1,166,46
Secretariat,1889531,2898,121,4598551,12981,624,29438,57,4
TMNT,8493975,28422,3569,28477769,136862,11881,-1,3865,1609
Radio,331420,1104,52,4301408,66179,1062,31494,,
Friends with Benefits,4648301,40460,1321,5924506,6703,411,2008426,8789,268
Neighbors 2: Sorority Rising,10116625,47014,1443,1238391,5957,375,-1,2311,780
Saving Mr. Banks,5698870,16592,710,610255,1277,49,174666,1829,23
This Is 40,2135518,3105,308,49294,83,11,-1,123,48
Old Dogs,2042129,2505,287,59169,65,2,9338,38,3
Underworld: Rise of the Lycans,590376,749,43,19494,85,10,-1,548,139
License to Wed,250983,490,29,7383,21,0,9840,31,4
The Benchwarmers,494623,,,47080,120,140,-1,585,128
Must Love Dogs,290600,511,32,18654,30,0,-1,33,13
Resident Evil,241442,1245,55,11244327,42548,3289,-1,1246,278
The Ladykillers,412939,,,85092,200,8,2118,4,1
Max Payne,381328,1053,75,790793,1855,207,-1,119,35
In Time,14026340,20307,1038,114629,442,16,642225,5832,93
The Back-Up Plan,1072498,2297,78,300614,254,25,324,4,0
Something Borrowed,1981872,7002,159,568405,977,78,186469,393,4
Black Knight,662466,,,35703,136,8,-1,166,54
The Pianist,819586,3791,93,2452973,4826,265,-1,291,22
The Nativity Story,201801,731,33,4231,15,0,171907,291,20
House of Wax,210829,444,28,1585348,2391,181,-1,624,241
Closer,849295,4774,127,2443829,7049,379,-1,219,32
J. Edgar,1153785,2395,92,253773,1103,145,-1,76,20
Mirrors,7282210,13090,2141,9650,38,3,254055,1066,110
Queen of the Damned,181507,580,43,664974,1167,99,58703,341,15
Untraceable,580450,844,58,1967999,1406,157,2574,49,31
Jersey Girl,595419,2334,60,70977,109,3,25394,,
Alex Cross,341635,665,72,435423,402,467,-1,167,34
Heist,2653072,2474,231,120094,142,12,5622220,7909,375
Nanny McPhee and the Big Bang,906279,868,96,59405,97,9,88071,140,13
The X Files: I Want to Believe,201459,316,20,266403,544,59,19279,370,23
Ella Enchanted,440875,916,73,-1,192,19,95104,286,13
Concussion,18080133,23071,1924,199466,384,39,-1,553,85
Abduction,433880,5234,157,6853027,14224,866,-1,1233,171
Valiant,163664,484,23,61232,60,8,128206,,
Wonder Boys,535675,1068,36,24577,,,-1,58,10
Superhero Movie,15472405,77132,5058,929243,1571,117,-1,892,273
Broken City,196207,671,39,37780,66,4,364613,708,34
Cursed,85844,335,21,287941,545,41,81887,,
Premium Rush,4428582,11668,756,28962,84,2,15781,202,85
Hot Pursuit,10012149,38050,1497,2375520,4329,435,13403,17,4
The Four Feathers,117328,255,10,64442,280,16,-1,49,14
Parker,243153,550,32,249730,299,254,-1,317,75
Wimbledon,551887,2456,44,198725,417,42,-1,28,23
Furry Vengeance,135454,425,72,23272,30,34,77801,225,20
Bait,394649,815,67,759238,1887,281,-1,500,119
Lions for Lambs,183909,324,35,485228,480,60,32486,282,29
Walk Hard: The Dewey Cox Story,1561224,2198,188,72141,174,7,22508,83,13
The Shipping News,286993,300,15,33387,74,4,2522,7,1
American Outlaws,181872,311,23,8370,25,1,11370,,
The Young Victoria,277309,916,18,203349,,,68787,171,1
Whiteout,146292,211,34,100655,73,9,51533,38,14
The Tree of Life,1147442,4691,118,87378,183,17,8983,41,2
Sabotage,4075223,7071,519,183722,2066,64,336347,893,56
The Order,1783837,26892,2063,1061615,7127,641,81458,151,7
Punisher: War Zone,3212478,3747,1252,1505819,2597,172,5019,20,2
Zoom,266866,1205,63,514032,1553,131,6094,27,4
The Walk,5615511,19450,948,1548343,5953,220,-1,661,114
A Good Year,368944,589,21,3689,39,0,-1,91,12
Femme Fatale,125695,184,16,726427,379,54,-1,33,9
Biutiful,574603,1335,46,314798,508,16,-1,53,10
Bandidas,383777,717,53,1409,12,1,15923,20,1
Black Water Transit,9409,21,4,1561549,3224,257,12058,17,0
The Maze Runner,10660640,45933,1169,14167311,55473,1325,-1,6039,1100
Unfinished Business,3297769,3522,291,4040970,7574,367,137595,232,22
