name, views1, likes1, dislikes1, views2, likes2, dislikes2, views3, likes3, dislikes3
The Fountain,104939,563,16,110962,159,24,-1,330,31
Stolen,3847316,2889,1248,7263,22,1,4977479,49701,3148
崖の上のポニョ,156117,350,52,2609757,1015,317,1932071,10297,354
The Longest Ride,15329917,45327,1358,1905212,2788,74,5072818,19145,857
I Dreamed of Africa,84955,,,24534,35,1,21706,,
Playing for Keeps,1886007,2321,208,33764,98,8,4114,55,23
Mandela: Long Walk to Freedom,755544,4000,111,396629,2471,69,-1,103,14
Exit Wounds,260813,853,32,84468,110,27,17717,34,1
Big Momma's House,413332,836,86,-1,1119,227,62485,103,7
The House of Magic,2313076,6281,486,75653,,,165375,230,22
The Darkest Hour,5095632,12280,752,5371981,6956,992,-1,880,174
Step Up Revolution,3574583,4490,287,55685,257,6,13675099,132593,4318
Snakes on a Plane,503769,728,98,266884,1439,80,-1,1017,379
The Watcher,58815,139,6,348870,564,69,19044,,
The Punisher,627612,11415,157,3624589,101829,1594,3718894,56939,790
Goal!: The Dream Begins,265028,588,27,1837277,13995,517,-1,,
Safe,1857075,12824,563,5169718,2023,86,127185,307,15
Doomsday,2582460,2517,327,527715,686,89,2389510,21599,351
The Reader,25068,91,3,352676,517,25,15759,43,2
Wanderlust,3587458,3963,318,324782,2166,190,8980,29,4
Elf,169836,443,19,1158597,2078,128,1755654,,
Snow Dogs,173289,288,31,486695,,,-1,,
Nacho Libre,637842,1010,147,167680,394,31,10880,88,5
Bridesmaids,3792341,5010,379,775992,1384,80,275564,197,20
This Is the End,1018554,6355,152,1174367,5359,170,9827570,97895,3227
Men of Honor,212630,556,16,837652,2016,112,-1,510,98
Takers,409642,812,57,319566,,,181126,262,24
The Big Wedding,5688881,9468,466,618366,2026,107,88005,130,25
Big Mommas: Like Father, Like Son,754626,2782,187,35020,263,14,-1,1119,227
Source Code,7047789,4516,218,207428,397,48,4443736,17548,441
The Number 23,685726,1698,107,56219,161,12,51501,143,23
The Young and Prodigious T.S. Spivet,416966,4542,113,507468,2476,61,-1,7,1
Dreamer: Inspired By a True Story,154844,,,1748,2,0,-1,225,20
A History of Violence,470326,639,46,1680060,3613,211,-1,133,41
Transporter 2,685900,648,77,981037,696,57,364548,560,85
Laws of Attraction,202787,589,18,139774,61,3,832719,950,71
Repo Men,4202252,3883,758,27229,91,8,213711,1122,29
디워,3407,11,2,2978,8,2,604655,943,432
The Incredible Burt Wonderstone,1777890,4455,138,245498,680,21,152321,289,34
The Good German,24384,59,8,9143,22,3,13457,14,3
George and the Dragon,24770,65,9,396488,2681,173,1690,4,0
Going the Distance,231760,625,17,34042,283,7,81208,70,5
Criminal,11206682,27593,1080,501751,764,44,-1,201,40
Flight,338912,721,28,3271767,5502,1336,295541,,
The Grand Budapest Hotel,11475470,39973,1042,1983340,3048,473,56671,355,14
Hearts in Atlantis,72749,370,11,21769,156,4,7221,16,0
Frequency,290932,529,20,-1,-1,-1,29170,111,9
Vacation,4987097,10993,967,12120497,28298,3683,301901,811,33
Chicago,607024,1956,66,81538,201,7,1402759,3785,157
American Pie 2,1033174,1484,107,797769,2064,68,-1,404,204
The Vow,3957807,14416,331,312528,1027,17,165305,657,24
Extraordinary Measures,159085,120,9,2225,3,1,21219,,
Remember the Titans,1581957,2731,96,563476,3470,236,-1,,
The Butler,2095936,3307,322,1772549,3736,388,835620,3987,189
DodgeBall: A True Underdog Story,536022,796,62,4297,11,3,-1,650,289
The Princess Diaries,2474622,,,46887,290,8,-1,,
District 9,4490307,11776,523,1665291,3879,230,217653,211,14
The SpongeBob SquarePants Movie,7617958,,,134282,308,34,-1,23049,9710
Mystic River,697617,1529,85,10722,24,2,-1,158,33
Million Dollar Baby,1143187,2825,111,125239,219,9,67714,205,21
The Notebook,5186495,14957,407,2049078,6304,333,-1,2455,523
27 Dresses,1605090,3717,99,196221,,,-1,406,101
Hannah Montana: The Movie,458454,2516,63,409929,781,25,-1,,
Rugrats in Paris: The Movie,599754,,,66954,106,9,-1,916,350
Up in the Air,1575651,2341,93,322639,380,56,6552,32,1
About Schmidt,248811,457,28,4509,18,3,-1,37,11
Warm Bodies,15066864,76316,2360,1297939,5560,169,-1,2475,582
Looper,8074453,15352,631,1167889,2336,96,-1,-1,-1
Down to Earth,161922,,,79361,206,12,159276,462,13
Hope Springs,1423671,1847,133,221419,965,146,1477,5,2
Forgetting Sarah Marshall,2034420,5217,192,2079286,2344,147,-1,295,73
Four Brothers,974648,,,661236,3389,113,-1,876,141
Baby Mama,884916,1788,112,7822,,,-1,364,122
Bride Wars,361905,1021,37,17035,45,1,640100,2161,88
Without a Paddle,74918,561,24,17330,46,16,-1,181,72
13 Going on 30,479640,3771,52,270689,,,-1,621,102
Midnight in Paris,1052876,3472,102,53074,89,4,-1,227,27
The Nut Job,3050477,4283,804,748503,2234,270,3309879,14052,1079
Blow,3135566,7533,310,492392,694,181,-1,1609,335
Like Mike,6898267,24071,1335,4195,7,2,-1,1825,503
The Curse of the Were-Rabbit,1096160,,,562537,815,81,-1,1336,301
P.S. I Love You,3763297,8525,272,404772,1266,25,18326,50,1
Racing Stripes,449436,551,62,310606,601,55,81783,188,4
Atonement,1397210,6070,138,126857,357,11,94010,536,19
Letters to Juliet,3748170,13920,235,713819,9562,82,1453816,7649,172
The Three Stooges,5110694,10779,4463,388163,648,131,5668,56,2
Corpse Bride,864525,2860,107,530015,2368,57,-1,2372,577
Glory Road,376408,880,22,1003252,1228,32,51086,64,0
Sicario,5212681,12084,483,14457149,35407,1835,267948,396,65
Southpaw,20965394,69187,2367,762488,3931,70,-1,916,91
Drag Me to Hell,191273,887,43,4787038,8309,748,6770992,18890,2831
The Age of Adaline,7205641,26747,546,1414517,4529,96,-1,1149,128
Secondhand Lions,326514,1255,46,51820,74,3,-1,656,65
Step Up 3D,785388,1507,43,2058245,2370,115,-1,,
Blue Crush,163257,362,23,127789,132,7,-1,140,12
Stranger Than Fiction,614690,,,342071,652,19,-1,211,32
30 Days of Night,109565,638,28,45344,49,2,-1,336,62
The Cabin in the Woods,7836341,11544,813,31155,126,8,-1,1248,269
Meet the Spartans,835570,1605,265,1339167,1501,331,-1,281,224
Hanna,4442590,3300,171,1002241,4009,176,33435,219,7
Larry Crowne,270700,610,34,42698,48,3,184249,193,16
Carrie,4689927,24606,1028,355828,1936,65,42835,229,10
Take the Lead,120025,,,18575,58,0,-1,375,37
Gridiron Gang,2150792,5132,1286,88930,,,439993,3364,51
What's the Worst That Could Happen?,202429,394,26,8258,9,0,66622,30,5
9,2691627,11354,626,237650,1653,50,-1,1305,226
Side Effects,3062718,2947,287,154015,295,10,177805,462,36
The Prince & Me,-1,69,22,-1,-1,-1,137528,2108,36
Winnie the Pooh,12209660,206353,5490,1009761,10289,216,-1,,
Dumb and Dumberer: When Harry Met Lloyd,78647,78,34,192569,150,90,-1,274,133
Get on Up,796158,4298,99,190653,1567,28,227452,1200,19
My Super Ex-Girlfriend,136448,372,33,304340,478,89,-1,65,34
Deliver Us from Evil,819951,2345,125,136893,1222,21,183920,349,25
Sanctum,993700,1021,130,77021,103,9,43778,75,5
Little Black Book,107803,614,22,1825213,1227,85,-1,79,12
The Five-Year Engagement,1471633,4090,156,83185,38,2,-1,97,27
Mr. 3000,121683,,,33872,33,5,-1,,
The Next Three Days,281764,,,30468,41,2,69234,173,18
Ultraviolet,586104,1674,120,920119,4224,324,-1,164,32
Assault on Precinct 13,35242,195,3,55346,66,7,-1,,
Eight Legged Freaks,303076,942,63,381174,568,49,140032,645,43
Love & Other Drugs,81859140,1250242,33581,48008296,305132,9657,1614149,42929,1468
88 Minutes,611997,561,59,16315,,,-1,36,4
North Country,605713,758,51,21453,56,1,127323,469,15
The Whole Ten Yards,10501,,,221823,477,22,-1,52,14
Splice,2937688,22655,1755,4141939,9944,791,272243,349,46
Pride and Glory,117406,118,9,1697418,1258,79,19134,38,1
The Cave,252692,478,59,73800,142,27,-1,154,50
Alex & Emma,-1,-1,-1,-1,-1,-1,2387941,39349,1910
Wicker Park,898159,1203,67,5784,7,1,153995,912,26
Fright Night,4158456,6844,631,18339,114,2,136028,369,25
The New World,281042,1540,51,123090,109,8,-1,220,37
Dragonball Evolution,556141,982,5201,200892,784,2308,-1,796,1893
The Last Stand,3182896,5869,272,256610,955,28,-1,343,31
Godsend,65371,126,9,554,2,0,-1,26,7
Chasing Liberty,343208,2081,31,700997,1619,72,-1,105,42
Hoodwinked Too! Hood VS. Evil,38840,137,28,12588,35,10,-1,241,74
An Unfinished Life,144616,255,14,30103,95,4,3971,6,6
The Imaginarium of Doctor Parnassus,288491,911,37,137024,443,13,81633,,
Barney's Version,41122,47,7,14459,35,0,5639,12,0
Runner Runner,3452272,4536,391,441104,1050,93,-1,97,25
Antitrust,56394,117,4,7298,9,1,-1,165,11
Dead Man Down,5359492,5840,484,224429,496,37,-1,277,105
The Merchant of Venice,551999,860,38,26767,119,9,17636,90,6
The Good Thief,108114,99,6,267417,2858,40,691,5,0
Supercross,902909,1229,90,78956,160,10,-1,181,40
Miss Potter,67291,349,4,526178,712,25,2997,40,0
Wu Ji,207121,373,30,1997,1,0,89885,170,10
DOA: Dead or Alive,849756,1410,150,41199,525,54,-1,161,15
The Assassination of Jesse James by the Coward Robert Ford,832091,3222,72,84539,125,6,-1,214,40
辛亥革命,18677,34,8,94703,117,5,1484,3,0
Le petit Nicolas,196377,456,24,183961,229,21,-1,16,3
Wild Card,13515532,21119,978,85937,1987,46,144440,161,16
Machine Gun Preacher,4378718,7971,384,34291,69,3,-1,242,34
Konferenz der Tiere,118838,245,25,58658,53,9,16113,27,2
Goodbye Bafana,246121,212,14,15302,13,0,31992,33,3
United Passions,540974,530,2966,122254,106,711,-1,4,26
Grace of Monaco,1358714,3563,177,1374527,1994,167,-1,28,4
Савва. Сердце воина,674208,1447,215,304825,1063,206,29358,71,40
Ripley's Game,28721,39,2,7670,18,1,5341,29,2
Sausage Party,11683290,51263,6108,4168139,11183,845,-1,5910,1407
Pitch Perfect 2,2414130,8234,392,27084478,145283,4883,3251334,12188,397
Walk the Line,179939,526,20,198289,983,18,1327109,4894,168
Keeping the Faith,275300,276,14,127059,,,-1,,
Frost/Nixon,613816,811,43,25067,81,7,307817,915,30
Confessions of a Dangerous Mind,92315,204,19,681067,590,33,6377,14,1
Serving Sara,256223,199,20,33785,26,2,90538,208,14
The Boss,7747577,31130,1707,1062141,6172,1220,-1,659,124
Seed of Chucky,1632250,2331,440,9422272,38933,3488,-1,7022,2602
The Jacket,395011,465,23,118684,344,82,-1,80,19
Straight Outta Compton,7601113,27486,645,10569891,96251,2125,-1,12164,1038
Along Came a Spider,15452,70,10,474111,,,6704,90,1
Florence Foster Jenkins,1936577,6865,273,965201,1558,65,-1,105,25
Once Upon a Time in Mexico,171821,318,18,8650,23,0,906228,854,62
Role Models,181241,486,16,233694,390,20,8734,29,1
The Big Short,9026498,19730,958,1380473,4286,203,-1,1471,188
Taking Woodstock,802584,1901,50,53057,275,2,81852,163,3
Miracle,557944,,,3328232,34469,470,-1,,
Dawn of the Dead,1057338,2205,143,365160,1211,51,-1,884,309
The Wedding Planner,986325,6908,108,999657,5195,160,-1,339,44
キャプテンハーロック,32437,118,1,259497,496,24,73261,491,92
The Royal Tenenbaums,176383,1101,23,2637,19,0,1445367,2132,85
Identity,254761,891,42,1694989,,,4815035,12435,610
Last Vegas,2136460,2976,246,638402,2425,89,-1,171,20
Serendipity,2266723,5690,164,124561,409,15,81805639,3619660,41638
Zoolander,3517916,,,563377,698,48,-1,400,165
Safe Haven,4194736,10474,430,785128,1639,58,272955,552,153
No Reservations,1059784,5681,109,28432,81,2,326547,1039,24
Kick-Ass,2687069,7945,353,3096293,10686,501,-1,3361,1890
30 Minutes or Less,388924,998,73,475152,1224,51,104156,1143,34
Dracula 2000,149360,529,38,1006073,1005,85,-1,126,17
Alexander and the Terrible, Horrible, No Good, Very Bad Day,6229965,15483,1123,2925937,2857,398,325000,1713,104
Pride & Prejudice,483791,5907,101,6085396,57130,2878,64716087,378319,30438
3 Days to Kill,5046144,12305,609,374489,615,45,281764,,
We Own the Night,214854,239,39,26388,119,10,723389,949,605
Lost Souls,43515,,,18236,49,4,-1,11,3
Le peuple migrateur,4462,15,1,24798,72,4,12682,44,0
Just My Luck,1931975,7186,170,2143404,2263,101,-1,70,66
The Spy Next Door,400004,692,82,1212394,4029,213,73338,678,32
Ghosts of Mars,69506,214,22,46121,64,12,32538,222,10
Our Brand Is Crisis,4452458,4293,723,70498,160,10,77329,144,9
Pride and Prejudice and Zombies,9584801,32089,3792,495979,3629,447,335783,3079,481
How to Lose Friends & Alienate People,304201,1208,39,88860,470,19,298197,,
Kick-Ass 2,3096293,10686,501,784957,4098,185,3255535,25153,789
Alatriste,732456,2508,255,136844,121,20,153064,298,13
Brick Mansions,5369532,14151,577,1295658,3834,159,690010,1489,108
Knocked Up,3273746,8630,241,64885,148,10,-1,,
My Sister's Keeper,4599407,11748,267,74498,190,11,114058,151,2
Welcome Home Roscoe Jenkins,188141,449,22,115807,,,-1,439,92
Notes on a Scandal,2344686,2950,248,11694572,11041,3118,-1,50,22
Rendition,60656,112,8,42424,64,6,-1,25,9
Divine Secrets of the Ya-Ya Sisterhood,296234,384,21,25275,119,6,-1,151,20
The Sisterhood of the Traveling Pants 2,2132759,3839,96,268884,1338,19,512366,6354,61
Joyful Noise,684873,4737,104,115256,500,18,-1,588,51
About a Boy,1044950,1804,87,478349,558,35,-1,75,20
Lucky Number Slevin,951150,1237,57,220200,335,20,84433,109,7
Anonymous,4602450,7723,759,451492,1874,243,464797,236,40
The Duchess,1267934,,,1314353,7016,231,33633,95,3
Case 39,252711,1392,48,92112,287,15,1897278,11040,562
Suspect Zero,29566,,,17010,40,2,38922,22,1
Martian Child,47877,,,21661,102,11,-1,53,16
Spy Kids: All the Time in the World,779218,1830,221,218660,585,54,-1,1931,498
Money Monster,5721996,7561,768,398057,682,54,-1,117,33
The 51st State,23121,30,2,1020,3,0,8668,14,2
Mindhunters,37741,169,14,66880,132,12,46923,156,5
What Just Happened,82484,86,11,6685,20,3,80747,87,9
The Statement,8808,,,15281,10,2,197,4,2
The Magic Flute,31869,136,2,11351,33,1,-1,5,0
Paul Blart: Mall Cop,2845810,6952,1175,-1,1242,356,83189,150,14
Freaky Friday,1358791,,,461144,3737,1413,-1,,
The 40 Year Old Virgin,752123,,,43259,68,7,3124088,17487,552
A Walk Among the Tombstones,3309592,3891,520,1707110,1491,160,637787,1524,71
Pineapple Express,1418478,4080,124,5534,83,6,3821986,27475,1542
Open Range,500763,564,41,22858,282,7,-1,,
Red Eye,99056,258,21,14968,48,2,206870,1126,19
Final Destination 2,94945,654,37,337151,509,37,-1,305,163
O Brother, Where Art Thou?,420642,623,40,19082,39,5,-1,,
Legion,1659449,2899,407,6203603,33387,1097,-1,1240,176
Pain & Gain,24643070,223089,7759,136969198,871570,22162,19329340,131848,4318
In Good Company,86960,,,50083,24,0,103237,154,10
Clockstoppers,175841,,,2835,8,0,108604,320,15
Brothers,597212,3585,87,910493,4892,133,-1,585,75
Agent Cody Banks 2: Destination London,222670,340,26,60697,84,11,-1,191,56
New Year's Eve,1313424,4135,162,174936,429,15,-1,302,110
Original Sin,159314,135,15,39349,46,3,81772,65,24
The Raven,395892,1312,44,48910,207,5,-1,82,28
Welcome to Mooseport,48335,72,11,203,0,1,-1,12,3
The Curse of the Jade Scorpion,28753,62,7,8647,19,1,12266,15,4
Accidental Love,6226929,10268,1171,57087,72,12,-1,19,4
Self/less,7848584,22387,622,6896896,,,-1,400,89
The Constant Gardener,257302,524,18,896210,837,37,2337,,
The Passion of the Christ,2034061,7325,378,14783,81,19,-1,7915,852
Gran Torino,723433,3796,83,68405,155,6,-1,1520,177
W.,133728,546,45,12911,41,8,-1,95,35
Taken,1010405,3550,109,16087947,54857,1802,637586,1261,63
The Best of Me,12186634,47882,1010,7262067,19378,677,620288,1339,30
The Help,487946,1932,85,136106,697,17,51543,284,9
The Fifth Estate,3778080,13412,1218,38035,368,12,-1,,
Scooby-Doo 2: Monsters Unleashed,226566,667,42,41651,132,10,-1,1861,654
Viy,194114,390,24,470575,252,30,1332734,6568,582
Freddy vs. Jason,82096,563,24,780190,1814,59,-1,7146,1427
The Face of an Angel,975280,2128,190,283625,497,35,170233,837,122
Jimmy Neutron: Boy Genius,2310,22,2,196266,603,32,-1,924,341
Cloverfield,719086,1137,65,1213898,,,-1,1020,185
No Country for Old Men,1684848,5422,175,237292,468,17,2777134,19747,341
Ride Along,11186574,35225,1231,14790510,48387,1973,46988,180,13
Bridget Jones's Diary,1363689,,,99791,91,9,-1,193,36
Chocolat,328094,1033,40,759358,1309,76,14460,100,1
Legally Blonde 2: Red, White & Blonde,-1,23877,966,447545,1967,110,890777,2504,84
Parental Guidance,1763935,2082,284,520059,631,61,-1,298,122
No Strings Attached,1474762,,,88582,254,17,4648411,40461,1321
Romeo Must Die,664306,2447,104,718293,722,34,-1,842,148
Final Destination 3,269146,823,68,79832,236,18,-1,619,268
The Lucky One,5358889,11166,432,6580817,21608,796,223722,391,19
Bridge to Terabithia,1235081,5844,166,55227,218,18,-1,,
Finding Neverland,4978583,13868,32229,779304,9946,138,1144517,3076,58
A Madea Christmas,2850286,13428,899,405759,430,48,-1,1926,189
The Grey,1122983,3693,168,312890,,,-1,726,153
Hide and Seek,425550,1102,69,116126,427,19,-1,587,344
Anchorman: The Legend of Ron Burgundy,806295,,,12150,83,2,717902,,
Agent Cody Banks,522407,844,57,222670,340,26,-1,268,143
Nanny McPhee,898773,,,498702,904,85,-1,754,188
Contraband,7463923,3446,1567,1127852,184,17,109589,182,20
There Will Be Blood,1328422,4746,130,151226,259,30,-1,338,40
The Wild Thornberrys Movie,291653,431,33,73880,112,8,-1,347,110
Rugrats Go Wild,221503,383,36,327674,,,-1,399,122
Undercover Brother,250981,826,38,64036,55,3,-1,429,85
The Sisterhood of the Traveling Pants,597951,2674,83,338491,461,11,-1,411,117
Kiss of the Dragon,234110,199,19,76282,,,1062746,1522,248
The House Bunny,2357431,4394,124,2212308,16285,397,-1,930,281
Beauty Shop,630350,826,53,82114,121,9,453645,3833,79
Million Dollar Arm,2261574,8367,262,817160,1465,58,370087,180,11
The Giver,7612808,28412,1064,711440,2862,198,69811,462,13
What a Girl Wants,658616,3891,75,885665,4383,98,-1,336,157
Jeepers Creepers 2,543612,1393,70,128985,1381,61,-1,1498,448
Good Luck Chuck,1314385,3526,197,51498598,128312,21326,3693677,7236,757
Cradle 2 the Grave,291178,821,33,11132,38,1,-1,284,50
The Hours,437701,1240,47,23428,104,2,841906,,
She's the Man,487437,5529,105,51461,350,7,42176,520,10
Mr. Bean's Holiday,799956,1519,95,642043,760,53,647099,,
Anacondas: The Hunt for the Blood Orchid,4110136,2580,482,833776,1791,256,5529,15,2
Blood Ties,184408,226,17,138382,325,13,352639,732,69
August Rush,701621,2119,109,323211,1336,38,158770,229,15
The Sitter,345469,943,47,41001,158,41,-1,357,164
Dance Flick,218050,755,83,65949,,,29908,409,10
Crocodile Dundee in Los Angeles,111409,,,25071,28,5,-1,92,31
The Gambler,6430814,8701,660,349042,299,39,12594368,77911,3389
August: Osage County,2834303,4508,317,531503,1447,75,140191,670,14
Ice Princess,656117,,,779883,2814,100,-1,,
A Lot Like Love,2109555,,,1331448,3000,107,-1,,
Eddie the Eagle,5124724,9447,202,744475,6609,94,-1,218,34
Dear John,10910078,29953,789,162797,473,20,2717,11,0
The Losers,246592,857,47,384513,1137,67,507494,880,199
Don't Be Afraid of the Dark,456316,1222,71,95399,554,73,293489,746,58
War,6367227,44225,857,298745,372,31,14175,284,24
Punch-Drunk Love,547892,1105,56,1121213,1317,68,-1,61,9
EuroTrip,975751,,,243352,223,26,966175,4615,316
Half Past Dead,59860,232,20,313325,158,32,51444,62,4
Unaccompanied Minors,153074,733,29,47425,211,6,-1,199,70
The Greatest Game Ever Played,301366,492,27,323435,331,10,101081,,
The Box,697680,1762,124,380955,516,53,-1,59,35
The Ruins,38042,208,8,963194,1357,110,238253,428,25
The Next Best Thing,2234,15,1,16353,,,7625,25,5
My Soul to Take,284757,1065,55,52757,132,12,3130884,23422,254
The Girl Next Door,567348,605,55,465043,733,101,-1,273,29
Stealing Harvard,126720,115,12,14368,18,5,9764,14,1
Legend,10865709,29463,953,380089,1134,50,2043940,8260,154
Hot Rod,1204099,,,1140081,4041,101,-1,574,104
Shark Night,1374608,5123,370,11808,130,11,-1,719,212
Draft Day,3844306,2360,290,625344,1397,164,739572,1905,70
The Conspirator,103816,184,10,27009,52,4,566,3,0
Lords of Dogtown,668023,,,195799,711,18,428255,3551,134
The 33,6440499,15768,1053,1815553,4918,256,543979,2442,304
Un Plan parfait,673880,1537,154,7528,12,3,15649,,
Warrior,914205,16527,397,5480703,14183,490,124840,1515,50
Stop-Loss,768858,,,18393,60,2,27401,124,5
Abandon,197445,506,27,317106,498,24,-1,39,9
The Possession,9696410,47614,1870,3064575,20714,817,3064148,28335,2719
Straw Dogs,1736329,2547,256,337931,475,23,114322,,
The Hoax,133396,94,8,23511,10,1,-1,4,5
The Road,1314781,3362,137,558121,1186,74,53283,322,8
Underclassman,144625,389,18,300628,239,10,15060,,
Say It Isn't So,164923,316,20,14669,26,7,715,1,0
The World's Fastest Indian,800392,2762,94,92183,168,5,734373,4775,507
King's Ransom,30867,118,3,25423,,,63446,48,13
Blindness,249338,545,42,166344,,,20803,,
BloodRayne,562827,369,103,598220,491,1005,-1,24,3
Carnage,892305,7157,2725,6973256,66074,32194,-1,38,14
Where the Truth Lies,107652,,,6357,13,5,400,10,4
Cirque du Soleil: Worlds Away,149196,673,33,614231,1343,78,-1,249,32
Me and Orson Welles,71574,182,6,58152,73,2,-1,18,3
La migliore offerta,1690184,3154,155,36045,58,0,-1,29,5
The Bad Lieutenant: Port of Call - New Orleans,63297,69,11,512044,537,45,-1,22,10
Sammy's avonturen: De geheime doorgang,8740,13,3,6328,4,0,-1,358,149
Les petits mouchoirs,1601320,1795,89,47165,54,1,-1,5,3
Love Ranch,36105,75,2,54045,79,23,40003,,
La véritable histoire du Chat Botté,141554,87,28,19936,10,5,-1,17,36
Белка и Стрелка. Звёздные собаки,7449333,12952,2412,2307,9,2,-1,103,29
The Counselor,2699512,3600,319,3249259,4871,308,-1,126,47
Ironclad,1254090,956,99,105662,142,17,681979,389,128
一個人的武林,311165,331,19,5549,9,0,982,1,0
Red Sky,32612,32,6,123520,20,56,-1,,
On the Road,1250410,2752,169,391056,1019,67,90415,280,13
Rocky Balboa,1415984,5114,142,39178,141,6,1285282,3887,175
Jane Got a Gun,1745993,2292,273,773015,3340,184,303406,460,31
Think Like a Man Too,9838217,25542,3307,2919162,8326,406,1416463,4744,244
The Whole Nine Yards,221826,477,22,10501,,,477,,
Old School,1217882,,,152194,,,43002,89,8
Return to Me,167673,315,13,307821,220,20,-1,4663,422
Zack and Miri Make a Porno,43137,86,12,411824,346,55,-1,190,93
Nurse Betty,104360,110,12,2664,6,0,15678,,
The Men Who Stare at Goats,2176844,4789,513,20507,64,5,220003,292,10
Double Take,94365,132,8,60509,,,-1,,
Win a Date with Tad Hamilton!,1227076,,,496092,884,84,-1,149,11
Ready to Rumble,171671,302,20,79209,1451,28,58682,441,8
I Don't Know How She Does It,1156940,6882,157,16619,47,10,17749,14,5
Piranha 3D,404529,909,78,138745,328,39,-1,633,193
Beyond the Sea,6994,20,1,61263,163,11,-1,153,19
The Bridge of San Luis Rey,5084,11,2,13688,12,0,407,2,1
Faster,367653,578,40,43404,76,1,108800,185,6
ハウルの動く城,2679130,20329,328,152015,812,18,1556565,5226,140
Zombieland,3464593,10618,558,1701499,3555,203,1665884,3745,632
Final Destination,94946,654,37,723749,1592,88,-1,877,274
The Ides of March,298864,516,27,13960,21,4,-1,68,16
Pitch Black,1446696,1684,234,164931,,,83707,67,21
Someone Like You...,181967,401,9,97751,169,8,-1,31,12
Her,4448862,17758,865,9747680,30847,1064,-1,1011,219
Joy Ride,398081,1243,53,1099326,1090,300,2686,9,0
The Adventurer: The Curse of the Midas Box,928986,790,155,25010,17,0,-1,8,2
The Crew,13871682,107111,2080,9034465,64084,1781,79151,154,12
Haywire,1381396,1836,244,151088,312,32,199889,158,14
The Longshots,64199,92,10,991199,9466,575,-1,353,53
In the Valley of Elah,185350,239,18,23816,36,3,58038,33,5
Coco avant Chanel,624273,1851,45,1331425,2126,55,-1,150,21
Forsaken,3010275,61981,2825,3281484,57845,4442,-1,57,10
Chéri,471669,354,30,158611,227,10,13618,34,1
Vanity Fair,74751,419,25,165346,248,16,18728,106,6
十月圍城,32124,36,1,14439,19,2,-1,44,5
1408,1702848,4034,152,2689097,4051,232,-1,166,40
The Water Diviner,4262733,6666,564,614577,1173,228,19581,77,8
